"FID","TILE","NM_MACRORH","GEOMETRY","ORDEMFINAL"
"141","080092","AMAZÔNICA","POLYGON ((-60.002494 -7.824664, -60.002494 -7.487334, -59.481766 -7.487334, -59.481766 -7.824664, -60.002494 -7.824664))",173
"142","080093","AMAZÔNICA","POLYGON ((-60.024213 -8.80506, -60.024213 -8.468107, -59.501578 -8.468107, -59.501578 -8.80506, -60.024213 -8.80506))",174
"143","080094","AMAZÔNICA","POLYGON ((-60.04609 -9.784438, -60.04609 -9.447767, -59.521535 -9.447767, -59.521535 -9.784438, -60.04609 -9.784438))",175
"144","080095","AMAZÔNICA","POLYGON ((-60.068126 -10.763071, -60.068126 -10.426588, -59.541636 -10.426588, -59.541636 -10.763071, -60.068126 -10.763071))",176
"145","080096","AMAZÔNICA","POLYGON ((-60.090324 -11.741231, -60.090324 -11.404842, -59.561884 -11.404842, -59.561884 -11.741231, -60.090324 -11.741231))",177
"146","080097","AMAZÔNICA","POLYGON ((-60.112684 -12.719194, -60.112684 -12.382803, -59.582281 -12.382803, -59.582281 -12.719194, -60.112684 -12.719194))",178
"147","080098","AMAZÔNICA","POLYGON ((-60.13521 -13.697239, -60.13521 -13.36075, -59.602828 -13.36075, -59.602828 -13.697239, -60.13521 -13.697239))",179
"148","080099","AMAZÔNICA","POLYGON ((-60.157901 -14.675647, -60.157901 -14.338962, -59.623527 -14.338962, -59.623527 -14.675647, -60.157901 -14.675647))",180
"149","080100","AMAZÔNICA","POLYGON ((-60.180762 -15.654703, -60.180762 -15.317724, -59.644379 -15.317724, -59.644379 -15.654703, -60.180762 -15.654703))",181
"150","080101","AMAZÔNICA","POLYGON ((-60.203792 -16.6347, -60.203792 -16.297325, -59.665387 -16.297325, -59.665387 -16.6347, -60.203792 -16.6347))",182
"151","081082","AMAZÔNICA","POLYGON ((-58.304734 2.070658, -58.304734 2.414265, -57.803968 2.414265, -57.803968 2.070658, -58.304734 2.070658))",183
"152","081083","AMAZÔNICA","POLYGON ((-58.319769 1.064875, -58.319769 1.407135, -57.81724 1.407135, -57.81724 1.064875, -58.319769 1.064875))",184
"153","081084","AMAZÔNICA","POLYGON ((-58.33491 0.062916, -58.33491 0.403934, -57.830605 0.403934, -57.830605 0.062916, -58.33491 0.062916))",185
"154","081085","AMAZÔNICA","POLYGON ((-58.350157 -0.935517, -58.350157 -0.595641, -57.844063 -0.595641, -57.844063 -0.935517, -58.350157 -0.935517))",186
"155","081086","AMAZÔNICA","POLYGON ((-58.365512 -1.930719, -58.365512 -1.591886, -57.857617 -1.591886, -57.857617 -1.930719, -58.365512 -1.930719))",187
"156","081087","AMAZÔNICA","POLYGON ((-58.380975 -2.92298, -58.380975 -2.58509, -57.871266 -2.58509, -57.871266 -2.92298, -58.380975 -2.92298))",188
"157","081088","AMAZÔNICA","POLYGON ((-58.396549 -3.912581, -58.396549 -3.57554, -57.885012 -3.57554, -57.885012 -3.912581, -58.396549 -3.912581))",189
"158","081089","AMAZÔNICA","POLYGON ((-58.412233 -4.899804, -58.412233 -4.563516, -57.898856 -4.563516, -57.898856 -4.899804, -58.412233 -4.899804))",190
"159","081090","AMAZÔNICA","POLYGON ((-58.42803 -5.884925, -58.42803 -5.549296, -57.9128 -5.549296, -57.9128 -5.884925, -58.42803 -5.884925))",191
"160","081091","AMAZÔNICA","POLYGON ((-58.44394 -6.86822, -58.44394 -6.533156, -57.926843 -6.533156, -57.926843 -6.86822, -58.44394 -6.86822))",192
"161","081092","AMAZÔNICA","POLYGON ((-58.459966 -7.849959, -58.459966 -7.515368, -57.940987 -7.515368, -57.940987 -7.849959, -58.459966 -7.849959))",193
"162","081093","AMAZÔNICA","POLYGON ((-58.476107 -8.830417, -58.476107 -8.496205, -57.955234 -8.496205, -57.955234 -8.830417, -58.476107 -8.830417))",194
"163","081094","AMAZÔNICA","POLYGON ((-58.492365 -9.809864, -58.492365 -9.475939, -57.969584 -9.475939, -57.969584 -9.809864, -58.492365 -9.809864))",195
"164","081095","AMAZÔNICA","POLYGON ((-58.508742 -10.788573, -58.508742 -10.454841, -57.984039 -10.454841, -57.984039 -10.788573, -58.508742 -10.788573))",196
"165","081096","AMAZÔNICA","POLYGON ((-58.525239 -11.766817, -58.525239 -11.433186, -57.998599 -11.433186, -57.998599 -11.766817, -58.525239 -11.766817))",197
"166","081097","AMAZÔNICA","POLYGON ((-58.541857 -12.744873, -58.541857 -12.411247, -58.013266 -12.411247, -58.013266 -12.744873, -58.541857 -12.744873))",198
"167","081098","AMAZÔNICA","POLYGON ((-58.558597 -13.723017, -58.558597 -13.389301, -58.028041 -13.389301, -58.028041 -13.723017, -58.558597 -13.723017))",199
"168","081099","AMAZÔNICA","POLYGON ((-58.575461 -14.701533, -58.575461 -14.36763, -58.042926 -14.36763, -58.042926 -14.701533, -58.575461 -14.701533))",200
"169","081100","PARAGUAI","POLYGON ((-58.592451 -15.680706, -58.592451 -15.346518, -58.05792 -15.346518, -58.05792 -15.680706, -58.592451 -15.680706))",515
"170","081101","PARAGUAI","POLYGON ((-58.609567 -16.660828, -58.609567 -16.326255, -58.073026 -16.326255, -58.073026 -16.660828, -58.609567 -16.660828))",516
"171","081102","PARAGUAI","POLYGON ((-58.626811 -17.642196, -58.626811 -17.307135, -58.088246 -17.307135, -58.088246 -17.642196, -58.626811 -17.642196))",517
"172","081103","PARAGUAI","POLYGON ((-58.644184 -18.625116, -58.644184 -18.289462, -58.103579 -18.289462, -58.103579 -18.625116, -58.644184 -18.625116))",518
"173","081104","PARAGUAI","POLYGON ((-58.661689 -19.609899, -58.661689 -19.273544, -58.119028 -19.273544, -58.119028 -19.609899, -58.661689 -19.609899))",519
"174","081105","PARAGUAI","POLYGON ((-58.679326 -20.596868, -58.679326 -20.259701, -58.134593 -20.259701, -58.134593 -20.596868, -58.679326 -20.596868))",520
"175","081106","PARAGUAI","POLYGON ((-58.697097 -21.586356, -58.697097 -21.248261, -58.150277 -21.248261, -58.150277 -21.586356, -58.697097 -21.586356))",521
"176","081107","PARAGUAI","POLYGON ((-58.715003 -22.578705, -58.715003 -22.239563, -58.16608 -22.239563, -58.16608 -22.578705, -58.715003 -22.578705))",522
"177","082082","AMAZÔNICA","POLYGON ((-56.815608 2.053778, -56.815608 2.394646, -56.316505 2.394646, -56.316505 2.053778, -56.815608 2.053778))",201
"178","082083","AMAZÔNICA","POLYGON ((-56.825445 1.048004, -56.825445 1.387527, -56.32459 1.387527, -56.32459 1.048004, -56.825445 1.048004))",202
"179","082084","AMAZÔNICA","POLYGON ((-56.83535 0.046049, -56.83535 0.384332, -56.332731 0.384332, -56.332731 0.046049, -56.83535 0.046049))",203
"180","082085","AMAZÔNICA","POLYGON ((-56.845325 -0.952386, -56.845325 -0.615244, -56.340929 -0.615244, -56.340929 -0.952386, -56.845325 -0.952386))",204
"181","082086","AMAZÔNICA","POLYGON ((-56.855371 -1.947595, -56.855371 -1.611494, -56.349185 -1.611494, -56.349185 -1.947595, -56.855371 -1.947595))",205
"182","082087","AMAZÔNICA","POLYGON ((-56.865487 -2.939867, -56.865487 -2.60471, -56.357499 -2.60471, -56.357499 -2.939867, -56.865487 -2.939867))",206
"183","082088","AMAZÔNICA","POLYGON ((-56.875676 -3.929485, -56.875676 -3.595177, -56.365873 -3.595177, -56.365873 -3.929485, -56.875676 -3.929485))",207
"184","082089","AMAZÔNICA","POLYGON ((-56.885937 -4.91673, -56.885937 -4.583176, -56.374306 -4.583176, -56.374306 -4.91673, -56.885937 -4.91673))",208
"185","082090","AMAZÔNICA","POLYGON ((-56.896272 -5.901877, -56.896272 -5.568985, -56.382799 -5.568985, -56.382799 -5.901877, -56.896272 -5.901877))",NA
"186","082091","AMAZÔNICA","POLYGON ((-56.906681 -6.885202, -56.906681 -6.552879, -56.391354 -6.552879, -56.391354 -6.885202, -56.906681 -6.885202))",209
"187","082092","AMAZÔNICA","POLYGON ((-56.917166 -7.866978, -56.917166 -7.535131, -56.39997 -7.535131, -56.39997 -7.866978, -56.917166 -7.866978))",210
"188","082093","AMAZÔNICA","POLYGON ((-56.927726 -8.847477, -56.927726 -8.516014, -56.408648 -8.516014, -56.408648 -8.847477, -56.927726 -8.847477))",211
"189","082094","AMAZÔNICA","POLYGON ((-56.938363 -9.82697, -56.938363 -9.4958, -56.417389 -9.4958, -56.417389 -9.82697, -56.938363 -9.82697))",212
"190","082095","AMAZÔNICA","POLYGON ((-56.949077 -10.805731, -56.949077 -10.47476, -56.426195 -10.47476, -56.426195 -10.805731, -56.949077 -10.805731))",213
"191","082096","AMAZÔNICA","POLYGON ((-56.95987 -11.784031, -56.95987 -11.453168, -56.435064 -11.453168, -56.435064 -11.784031, -56.95987 -11.784031))",4
"192","082097","AMAZÔNICA","POLYGON ((-56.970742 -12.762148, -56.970742 -12.431299, -56.443999 -12.431299, -56.443999 -12.762148, -56.970742 -12.762148))",214
"193","082098","AMAZÔNICA","POLYGON ((-56.981694 -13.74036, -56.981694 -13.409429, -56.452999 -13.409429, -56.452999 -13.74036, -56.981694 -13.74036))",215
"194","082099","PARAGUAI","POLYGON ((-56.992728 -14.718949, -56.992728 -14.387841, -56.462066 -14.387841, -56.462066 -14.718949, -56.992728 -14.718949))",523
"195","082100","PARAGUAI","POLYGON ((-57.003843 -15.6982, -57.003843 -15.366818, -56.4712 -15.366818, -56.4712 -15.6982, -57.003843 -15.6982))",524
"196","082101","PARAGUAI","POLYGON ((-57.015041 -16.678407, -57.015041 -16.34665, -56.480402 -16.34665, -56.480402 -16.678407, -57.015041 -16.678407))",31
"197","082102","PARAGUAI","POLYGON ((-57.026323 -17.659865, -57.026323 -17.327633, -56.489673 -17.327633, -56.489673 -17.659865, -57.026323 -17.659865))",525
"198","082103","PARAGUAI","POLYGON ((-57.03769 -18.642881, -57.03769 -18.310069, -56.499014 -18.310069, -56.499014 -18.642881, -57.03769 -18.642881))",526
"199","082104","PARAGUAI","POLYGON ((-57.049142 -19.627768, -57.049142 -19.294269, -56.508424 -19.294269, -56.508424 -19.627768, -57.049142 -19.627768))",NA
"200","082105","PARAGUAI","POLYGON ((-57.060681 -20.614847, -57.060681 -20.280551, -56.517906 -20.280551, -56.517906 -20.614847, -57.060681 -20.614847))",527
"201","082106","PARAGUAI","POLYGON ((-57.072308 -21.604451, -57.072308 -21.269243, -56.52746 -21.269243, -56.52746 -21.604451, -57.072308 -21.604451))",528
"202","082107","PARAGUAI","POLYGON ((-57.084024 -22.596924, -57.084024 -22.260687, -56.537087 -22.260687, -56.537087 -22.596924, -57.084024 -22.596924))",529
"203","082113","URUGUAI","POLYGON ((-57.156236 -28.633153, -57.156236 -28.287962, -56.596424 -28.287962, -56.596424 -28.633153, -57.156236 -28.633153))",503
"204","082114","URUGUAI","POLYGON ((-57.168602 -29.656664, -57.168602 -29.309453, -56.606584 -29.309453, -56.606584 -29.656664, -57.168602 -29.656664))",504
"205","082115","URUGUAI","POLYGON ((-57.181065 -30.686418, -57.181065 -30.337015, -56.616824 -30.337015, -56.616824 -30.686418, -57.181065 -30.686418))",505
"206","083082","AMAZÔNICA","POLYGON ((-55.326323 2.045107, -55.326323 2.383235, -54.828911 2.383235, -54.828911 2.045107, -55.326323 2.045107))",216
"207","083083","AMAZÔNICA","POLYGON ((-55.330959 1.039336, -55.330959 1.376124, -54.831807 1.376124, -54.831807 1.039336, -55.330959 1.039336))",217
"208","083084","AMAZÔNICA","POLYGON ((-55.335627 0.037384, -55.335627 0.372932, -54.834723 0.372932, -54.834723 0.037384, -55.335627 0.037384))",218
"209","083085","AMAZÔNICA","POLYGON ((-55.340329 -0.961052, -55.340329 -0.626643, -54.837659 -0.626643, -54.837659 -0.961052, -55.340329 -0.961052))",219
"210","083086","AMAZÔNICA","POLYGON ((-55.345063 -1.956265, -55.345063 -1.622897, -54.840616 -1.622897, -54.840616 -1.956265, -55.345063 -1.956265))",NA
"211","083087","AMAZÔNICA","POLYGON ((-55.349831 -2.948542, -55.349831 -2.616119, -54.843594 -2.616119, -54.843594 -2.948542, -55.349831 -2.948542))",220
"212","083088","AMAZÔNICA","POLYGON ((-55.354633 -3.938168, -55.354633 -3.606596, -54.846593 -3.606596, -54.846593 -3.938168, -55.354633 -3.938168))",221
"213","083089","AMAZÔNICA","POLYGON ((-55.35947 -4.925423, -55.35947 -4.594608, -54.849614 -4.594608, -54.849614 -4.925423, -55.35947 -4.925423))",222
"214","083090","AMAZÔNICA","POLYGON ((-55.364341 -5.910584, -55.364341 -5.580434, -54.852656 -5.580434, -54.852656 -5.910584, -55.364341 -5.910584))",223
"215","083091","AMAZÔNICA","POLYGON ((-55.369247 -6.893925, -55.369247 -6.564347, -54.85572 -6.564347, -54.85572 -6.893925, -55.369247 -6.893925))",224
"216","083092","AMAZÔNICA","POLYGON ((-55.374188 -7.87572, -55.374188 -7.546623, -54.858806 -7.546623, -54.858806 -7.87572, -55.374188 -7.87572))",225
"217","083093","AMAZÔNICA","POLYGON ((-55.379165 -8.856239, -55.379165 -8.527533, -54.861915 -8.527533, -54.861915 -8.856239, -55.379165 -8.856239))",226
"218","083094","AMAZÔNICA","POLYGON ((-55.384179 -9.835756, -55.384179 -9.507348, -54.865046 -9.507348, -54.865046 -9.835756, -55.384179 -9.835756))",227
"219","083095","AMAZÔNICA","POLYGON ((-55.389229 -10.814542, -55.389229 -10.486342, -54.8682 -10.486342, -54.8682 -10.814542, -55.389229 -10.814542))",228
"220","083096","AMAZÔNICA","POLYGON ((-55.394316 -11.792872, -55.394316 -11.464787, -54.871377 -11.464787, -54.871377 -11.792872, -55.394316 -11.792872))",229
"221","083097","AMAZÔNICA","POLYGON ((-55.39944 -12.77102, -55.39944 -12.442958, -54.874577 -12.442958, -54.874577 -12.77102, -55.39944 -12.77102))",230
"222","083098","AMAZÔNICA","POLYGON ((-55.404602 -13.749266, -55.404602 -13.421132, -54.877801 -13.421132, -54.877801 -13.749266, -55.404602 -13.749266))",231
"223","083099","PARAGUAI","POLYGON ((-55.409803 -14.727892, -55.409803 -14.399592, -54.881049 -14.399592, -54.881049 -14.727892, -55.409803 -14.727892))",530
"224","083100","PARAGUAI","POLYGON ((-55.415042 -15.707184, -55.415042 -15.37862, -54.88432 -15.37862, -54.88432 -15.707184, -55.415042 -15.707184))",531
"225","083101","PARAGUAI","POLYGON ((-55.42032 -16.687433, -55.42032 -16.358508, -54.887617 -16.358508, -54.887617 -16.687433, -55.42032 -16.687433))",532
"226","083102","PARAGUAI","POLYGON ((-55.425637 -17.668938, -55.425637 -17.33955, -54.890938 -17.33955, -54.890938 -17.668938, -55.425637 -17.668938))",533
"227","083103","PARAGUAI","POLYGON ((-55.430995 -18.652003, -55.430995 -18.32205, -54.894284 -18.32205, -54.894284 -18.652003, -55.430995 -18.652003))",534
"228","083104","PARAGUAI","POLYGON ((-55.436393 -19.636942, -55.436393 -19.306318, -54.897655 -19.306318, -54.897655 -19.636942, -55.436393 -19.636942))",535
"229","083105","PARAGUAI","POLYGON ((-55.441832 -20.624077, -55.441832 -20.292672, -54.901051 -20.292672, -54.901051 -20.624077, -55.441832 -20.624077))",536
"230","083106","PARANÁ","POLYGON ((-55.447312 -21.613741, -55.447312 -21.281442, -54.904474 -21.281442, -54.904474 -21.613741, -55.447312 -21.613741))",442
"231","083107","PARANÁ","POLYGON ((-55.452834 -22.606278, -55.452834 -22.272968, -54.907922 -22.272968, -54.907922 -22.606278, -55.452834 -22.606278))",443
"232","083108","PARANÁ","POLYGON ((-55.458399 -23.602045, -55.458399 -23.267603, -54.911397 -23.267603, -54.911397 -23.602045, -55.458399 -23.602045))",444
"233","083109","PARANÁ","POLYGON ((-55.464006 -24.601415, -55.464006 -24.265714, -54.914899 -24.265714, -54.914899 -24.601415, -55.464006 -24.601415))",445
"234","083110","PARANÁ","POLYGON ((-55.469656 -25.604777, -55.469656 -25.267684, -54.918428 -25.267684, -54.918428 -25.604777, -55.469656 -25.604777))",446
"235","083112","URUGUAI","POLYGON ((-55.481089 -27.625119, -55.481089 -27.284821, -54.925567 -27.284821, -54.925567 -27.625119, -55.481089 -27.625119))",506
"236","083113","URUGUAI","POLYGON ((-55.486872 -28.642977, -55.486872 -28.300849, -54.929179 -28.300849, -54.929179 -28.642977, -55.486872 -28.642977))",507
"237","083114","URUGUAI","POLYGON ((-55.492701 -29.666582, -55.492701 -29.322464, -54.932819 -29.322464, -54.932819 -29.666582, -55.492701 -29.666582))",41
"238","083115","URUGUAI","POLYGON ((-55.498575 -30.696438, -55.498575 -30.350156, -54.936487 -30.350156, -54.936487 -30.696438, -55.498575 -30.696438))",508
"239","083116","URUGUAI","POLYGON ((-55.504496 -31.733078, -55.504496 -31.38445, -54.940185 -31.38445, -54.940185 -31.733078, -55.504496 -31.733078))",509
"240","084082","AMAZÔNICA","POLYGON ((-53.835622 2.043885, -53.835622 2.380793, -53.338589 2.380793, -53.338589 2.043885, -53.835622 2.043885))",232
"241","084083","AMAZÔNICA","POLYGON ((-53.835047 1.038116, -53.835047 1.373683, -53.336276 1.373683, -53.336276 1.038116, -53.835047 1.038116))",233
"242","084084","AMAZÔNICA","POLYGON ((-53.834468 0.036164, -53.834468 0.370492, -53.333947 0.370492, -53.333947 0.036164, -53.834468 0.036164))",234
"243","084085","AMAZÔNICA","POLYGON ((-53.833885 -0.962272, -53.833885 -0.629083, -53.331602 -0.629083, -53.331602 -0.962272, -53.833885 -0.962272))",235
"244","084086","AMAZÔNICA","POLYGON ((-53.833299 -1.957485, -53.833299 -1.625337, -53.329241 -1.625337, -53.329241 -1.957485, -53.833299 -1.957485))",236
"245","084087","AMAZÔNICA","POLYGON ((-53.832707 -2.949763, -53.832707 -2.618561, -53.326862 -2.618561, -53.326862 -2.949763, -53.832707 -2.949763))",237
"246","084088","AMAZÔNICA","POLYGON ((-53.832112 -3.93939, -53.832112 -3.60904, -53.324467 -3.60904, -53.324467 -3.93939, -53.832112 -3.93939))",238
"247","084089","AMAZÔNICA","POLYGON ((-53.831512 -4.926646, -53.831512 -4.597055, -53.322054 -4.597055, -53.322054 -4.926646, -53.831512 -4.926646))",239
"248","084090","AMAZÔNICA","POLYGON ((-53.830909 -5.911809, -53.830909 -5.582883, -53.319624 -5.582883, -53.319624 -5.911809, -53.830909 -5.911809))",240
"249","084091","AMAZÔNICA","POLYGON ((-53.8303 -6.895152, -53.8303 -6.566801, -53.317177 -6.566801, -53.317177 -6.895152, -53.8303 -6.895152))",241
"250","084092","AMAZÔNICA","POLYGON ((-53.829688 -7.876949, -53.829688 -7.549082, -53.314712 -7.549082, -53.314712 -7.876949, -53.829688 -7.876949))",242
"251","084093","AMAZÔNICA","POLYGON ((-53.829071 -8.857471, -53.829071 -8.529997, -53.312229 -8.529997, -53.312229 -8.857471, -53.829071 -8.857471))",243
"252","084094","AMAZÔNICA","POLYGON ((-53.828449 -9.836991, -53.828449 -9.509819, -53.309728 -9.509819, -53.309728 -9.836991, -53.828449 -9.836991))",244
"253","084095","AMAZÔNICA","POLYGON ((-53.827823 -10.815781, -53.827823 -10.488819, -53.307209 -10.488819, -53.307209 -10.815781, -53.827823 -10.815781))",3
"254","084096","AMAZÔNICA","POLYGON ((-53.827193 -11.794115, -53.827193 -11.467272, -53.304671 -11.467272, -53.304671 -11.794115, -53.827193 -11.794115))",245
"255","084097","AMAZÔNICA","POLYGON ((-53.826557 -12.772267, -53.826557 -12.445451, -53.302115 -12.445451, -53.302115 -12.772267, -53.826557 -12.772267))",246
"256","084098","AMAZÔNICA","POLYGON ((-53.825917 -13.750518, -53.825917 -13.423636, -53.29954 -13.423636, -53.29954 -13.750518, -53.825917 -13.750518))",247
"257","084099","AMAZÔNICA","POLYGON ((-53.825273 -14.729149, -53.825273 -14.402105, -53.296946 -14.402105, -53.296946 -14.729149, -53.825273 -14.729149))",248
"258","084100","TOCANTINS-ARAGUAIA","POLYGON ((-53.824623 -15.708446, -53.824623 -15.381144, -53.294332 -15.381144, -53.294332 -15.708446, -53.824623 -15.708446))",274
"259","084101","TOCANTINS-ARAGUAIA","POLYGON ((-53.823969 -16.688701, -53.823969 -16.361044, -53.291699 -16.361044, -53.291699 -16.688701, -53.823969 -16.688701))",275
"260","084102","PARAGUAI","POLYGON ((-53.823309 -17.670212, -53.823309 -17.342099, -53.289047 -17.342099, -53.289047 -17.670212, -53.823309 -17.670212))",32
"261","084103","PARAGUAI","POLYGON ((-53.822645 -18.653284, -53.822645 -18.324612, -53.286374 -18.324612, -53.286374 -18.653284, -53.822645 -18.653284))",537
"262","084104","PARANÁ","POLYGON ((-53.821976 -19.638231, -53.821976 -19.308894, -53.283681 -19.308894, -53.283681 -19.638231, -53.821976 -19.638231))",447
"263","084105","PARANÁ","POLYGON ((-53.821302 -20.625373, -53.821302 -20.295264, -53.280968 -20.295264, -53.280968 -20.625373, -53.821302 -20.625373))",448
"264","084106","PARANÁ","POLYGON ((-53.820622 -21.615045, -53.820622 -21.28405, -53.278234 -21.28405, -53.278234 -21.615045, -53.820622 -21.615045))",449
"265","084107","PARANÁ","POLYGON ((-53.819938 -22.60759, -53.819938 -22.275593, -53.275479 -22.275593, -53.275479 -22.60759, -53.819938 -22.60759))",450
"266","084108","PARANÁ","POLYGON ((-53.819248 -23.603367, -53.819248 -23.270247, -53.272703 -23.270247, -53.272703 -23.603367, -53.819248 -23.603367))",34
"267","084109","PARANÁ","POLYGON ((-53.818553 -24.602747, -53.818553 -24.268377, -53.269906 -24.268377, -53.269906 -24.602747, -53.818553 -24.602747))",451
"268","084110","PARANÁ","POLYGON ((-53.817852 -25.606119, -53.817852 -25.270368, -53.267087 -25.270368, -53.267087 -25.606119, -53.817852 -25.606119))",452
"269","084111","URUGUAI","POLYGON ((-53.817146 -26.613889, -53.817146 -26.276619, -53.264247 -26.276619, -53.264247 -26.613889, -53.817146 -26.613889))",510
"270","084112","URUGUAI","POLYGON ((-53.816435 -27.626484, -53.816435 -27.28755, -53.261384 -27.28755, -53.261384 -27.626484, -53.816435 -27.626484))",40
"271","084113","URUGUAI","POLYGON ((-53.815718 -28.644354, -53.815718 -28.303603, -53.258499 -28.303603, -53.258499 -28.644354, -53.815718 -28.644354))",511
"272","084114","ATLÂNTICO SUL","POLYGON ((-53.814995 -29.667972, -53.814995 -29.325244, -53.255591 -29.325244, -53.255591 -29.667972, -53.814995 -29.667972))",487
"273","084115","ATLÂNTICO SUL","POLYGON ((-53.814267 -30.697842, -53.814267 -30.352964, -53.252661 -30.352964, -53.252661 -30.697842, -53.814267 -30.697842))",488
"274","084116","ATLÂNTICO SUL","POLYGON ((-53.813533 -31.734497, -53.813533 -31.387288, -53.249707 -31.387288, -53.249707 -31.734497, -53.813533 -31.734497))",489
"275","084117","ATLÂNTICO SUL","POLYGON ((-53.812793 -32.778504, -53.812793 -32.42877, -53.246729 -32.42877, -53.246729 -32.778504, -53.812793 -32.778504))",490
"276","084118","ATLÂNTICO SUL","POLYGON ((-53.812047 -33.830473, -53.812047 -33.478005, -53.243729 -33.478005, -53.243729 -33.830473, -53.812047 -33.830473))",491
"277","085080","AMAZÔNICA","POLYGON ((-52.358645 4.073132, -52.358645 4.415781, -51.863751 4.415781, -51.863751 4.073132, -52.358645 4.073132))",249
"278","085081","AMAZÔNICA","POLYGON ((-52.352956 3.058793, -52.352956 3.399886, -51.856339 3.399886, -51.856339 3.058793, -52.352956 3.058793))",250
